;Open;High;Low;Close;Date;Values
2023-01-12 19:23:42;7824,3;7824,3;7824,3;7824,3;;
2023-01-12 19:23:45;7823,3;7823,3;7823,3;7823,3;;
2023-01-12 19:23:46;7823,3;7823,3;7823,3;7823,3;;
2023-01-12 19:23:47;7822,8;7822,8;7822,8;7822,8;;
2023-01-12 19:23:49;7823,3;7823,3;7822,8;7822,8;;
2023-01-12 19:23:51;7822,8;7822,8;7822,8;7822,8;;
2023-01-12 19:23:52;7823,3;7823,3;7823,3;7823,3;;
2023-01-12 19:23:54;7823,3;7823,3;7823,3;7823,3;;
2023-01-12 19:23:55;7823,3;7823,3;7823,3;7823,3;;
2023-01-12 19:23:59;7822,8;7823,3;7822,8;7823,3;;
2023-01-12 19:24:04;7822,8;7822,8;7822,8;7822,8;;
2023-01-12 19:24:12;7822,3;7822,3;7822,3;7822,3;;
2023-01-12 19:24:18;7821,8;7821,8;7821,8;7821,8;;
2023-01-12 19:24:20;7821,8;7821,8;7821,8;7821,8;;
